method,nsweeps,order,percentage,rel_error_accessed,rel_error_non_accessed
TCI,1,,18.75,1.009333850420225e-15,0.002894387185927599
TTNS_Markov,1,1,18.75,0.5300401922161371,0.5833946358209605
TTNS_Markov,1,2,18.75,13.650858055399064,18.709999164601225
TTNS_Markov,1,3,18.75,15.589752191717713,11.47239625647962
TTNS_Markov,1,4,18.75,4.241034311049517e-14,6.960096812745205
TTNS_Markov,1,5,18.75,6.185560322808006e-14,6.960096812745208
TTNS_Markov,1,6,18.75,6.678527650376229e-14,6.960096812745215
TTNS_Markov,1,7,18.75,5.4349310389763635e-14,6.960096812745214
TTNS_Markov,1,8,18.75,5.679291415533004e-14,6.9600968127452045
TTNS_Markov,1,9,18.75,6.06477248589474e-14,6.96009681274521
TCI,2,,76.5625,2.170450036374372e-14,5.786468508947041e-13
TTNS_Markov,2,1,76.5625,0.578540742208777,0.6042947930771795
TTNS_Markov,2,2,76.5625,0.08539514364294892,0.09275523354659646
TTNS_Markov,2,3,76.5625,20.41985908624754,29.969837213240023
TTNS_Markov,2,4,76.5625,3.736380052926974e-14,6.8587152517374825
TTNS_Markov,2,5,76.5625,2.7611704373403287e-14,6.8587152517374985
TTNS_Markov,2,6,76.5625,2.7141776878465483e-14,6.858715251737501
TTNS_Markov,2,7,76.5625,2.7206601995731207e-14,6.8587152517374985
TTNS_Markov,2,8,76.5625,2.6909333777359505e-14,6.858715251737503
TTNS_Markov,2,9,76.5625,2.6575249157126213e-14,6.858715251737497
TCI,3,,100.0,1.3648560664287235e-15,NaN
TTNS_Markov,3,1,100.0,0.1330450045168061,NaN
TTNS_Markov,3,2,100.0,0.008382453115391722,NaN
TTNS_Markov,3,3,100.0,6.395862462408244e-5,NaN
TTNS_Markov,3,4,100.0,1.6447740290160622e-14,NaN
TTNS_Markov,3,5,100.0,1.2332355152486862e-14,NaN
TTNS_Markov,3,6,100.0,1.3090692636261512e-14,NaN
TTNS_Markov,3,7,100.0,1.2102953109290795e-14,NaN
TTNS_Markov,3,8,100.0,1.0482513533425419e-14,NaN
TTNS_Markov,3,9,100.0,1.167893130857682e-14,NaN
