d,mean_error,min_error,max_error,runtime
1,0.0002793999999999852,0.0002793999999999297,0.0002794000000000407,0.4631719317272727
2,0.000479869640994784,0.00018726069578731987,0.0009892544588418406,1.0110567834
3,0.0018929457917838712,0.0002316212495764992,0.003509198404355749,1.690977361
4,0.001694741927289862,6.797255287532093e-5,0.005518547586388153,2.4454051666666663
5,0.002235016671133227,0.0001546042474188739,0.009251640218336908,3.0811618335
6,0.002115099785109082,2.0060210452221474e-5,0.007673235518301837,3.8942495625
7,0.0029036152462728706,0.0001069304550385322,0.008625065086663124,4.7373147915
8,0.00506965407615576,4.941559556834236e-6,0.023507386302303594,5.047610334
9,0.003681959294038327,1.8970652179656093e-7,0.014791391933448868,5.83505325
10,0.0042730112035676525,6.310453242385213e-6,0.025786937003552002,6.090941
11,0.003905299398973663,1.8944243446173405e-6,0.02365576125390805,6.78087575
12,0.004372493142948464,1.1903252683551845e-6,0.017715458789090355,7.446604417
13,0.005326448949605616,1.048533523443213e-6,0.025744505778759162,8.365032916
14,0.0043508962591314836,8.55376802152245e-8,0.023025238296359732,9.525112125
15,0.005870978339748619,4.887882661693874e-7,0.032228835796156534,9.087126667
16,0.0053619592002565105,1.356785816560815e-7,0.030603317944848902,10.121121958
