sketching_order,is_recursive,n_vertices,beta,initialization_mode,n_active_modes,max_rel_error_mean,max_rel_error_std,mean_rel_error_mean,mean_rel_error_std,min_rel_error_mean,max_rel_error_max,max_abs_diff_mean,max_abs_diff_std,runtime_mean,runtime_std,runtime_min,runtime_max
1,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.06619119843421052,NaN,0.06619119843421052,0.06619119843421052
1,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.3340116848125,NaN,0.3340116848125,0.3340116848125
1,false,3,1.0,random,-1,1.192488322143566e-14,NaN,7.800419070389986e-16,1.0266113506887252e-15,2.129443432399225e-17,1.192488322143566e-14,1.8973538018496328e-18,NaN,0.6934877865,NaN,0.6934877865,0.6934877865
1,false,4,1.0,random,-1,0.2921777209558416,NaN,0.01181490861056854,0.01889637104751577,1.6224833117621194e-7,0.2921777209558416,4.635192411227863e-5,NaN,1.0863116084000002,NaN,1.0863116084000002,1.0863116084000002
1,false,5,1.0,random,-1,0.1595053779751563,NaN,0.002368048909229382,0.004500815769758804,1.6323218155684672e-8,0.1595053779751563,2.5767928181738635e-5,NaN,1.6017586665,NaN,1.6017586665,1.6017586665
1,false,6,1.0,random,-1,0.2833269344108532,NaN,0.0023803114246580895,0.006520493075288548,2.559916682470832e-8,0.2833269344108532,5.5706111311200205e-5,NaN,1.9591530416666667,NaN,1.9591530416666667,1.9591530416666667
1,false,7,1.0,random,-1,10.102770009612643,NaN,0.13993785065676617,0.2711040382947729,3.312358838718193e-7,10.102770009612643,0.0013998044399663903,NaN,2.3599383053333334,NaN,2.3599383053333334,2.3599383053333334
1,false,8,1.0,random,-1,2518.723517277309,NaN,7.799697216875024,40.83605283554926,7.511741465609987e-6,2518.723517277309,0.31820957852113374,NaN,3.10437375,NaN,3.10437375,3.10437375
1,false,9,1.0,random,-1,68.14895867481815,NaN,0.37183191447092845,1.3156528010424369,2.0591782325199325e-7,68.14895867481815,0.0066072889336346915,NaN,2.593740125,NaN,2.593740125,2.593740125
1,true,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.08106748793548388,NaN,0.08106748793548388,0.08106748793548388
1,true,2,1.0,random,-1,2.9497846416571746e-15,NaN,6.934299392870798e-16,4.093861196135303e-16,9.21807700517867e-18,2.9497846416571746e-15,5.421010862427522e-19,NaN,0.24175844647619046,NaN,0.24175844647619046,0.24175844647619046
1,true,3,1.0,random,-1,1.1882885874698985,NaN,0.22852754546175638,0.07718061103792923,0.10896265308499309,1.1882885874698985,0.00018906716546102206,NaN,0.49171631454545456,NaN,0.49171631454545456,0.49171631454545456
1,true,4,1.0,random,-1,3.9410922444793295,NaN,1.009655685165397,0.23472589894081788,0.00035492493310355575,3.9410922444793295,0.0006252263452462371,NaN,0.7975551665714286,NaN,0.7975551665714286,0.7975551665714286
