sketching_order,is_recursive,n_vertices,beta,initialization_mode,n_active_modes,max_rel_error_mean,max_rel_error_std,mean_rel_error_mean,mean_rel_error_std,min_rel_error_mean,max_rel_error_max,max_abs_diff_mean,max_abs_diff_std,runtime_mean,runtime_std,runtime_min,runtime_max
1,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.06595989969736842,NaN,0.06595989969736842,0.06595989969736842
1,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.3238087449375,NaN,0.3238087449375,0.3238087449375
1,false,3,1.0,random,-1,2.9074724870587375e-15,NaN,5.016328636171434e-16,4.42831038401674e-16,5.506576680035488e-18,2.9074724870587375e-15,4.472333961502706e-19,NaN,0.698196692625,NaN,0.698196692625,0.698196692625
1,false,4,1.0,random,-1,0.6133948298181678,NaN,0.0056760425451425,0.014963065338679533,8.830405730810933e-9,0.6133948298181678,8.395603126672664e-5,NaN,1.028159333,NaN,1.028159333,1.028159333
1,false,5,1.0,random,-1,0.48868644380879867,NaN,0.007946714201274829,0.01760643408456003,2.1390117884402727e-7,0.48868644380879867,5.639997324845729e-5,NaN,1.51495515625,NaN,1.51495515625,1.51495515625
1,false,6,1.0,random,-1,1.0241952841574584,NaN,0.007000477736643634,0.014516208395769205,6.550445460457991e-8,1.0241952841574584,0.000126952309697357,NaN,1.741104236,NaN,1.741104236,1.741104236
1,false,7,1.0,random,-1,0.4208424345679449,NaN,0.009599538938111553,0.01652014356517396,4.9643257195816034e-8,0.4208424345679449,3.8994788681212555e-5,NaN,2.121641986333333,NaN,2.121641986333333,2.121641986333333
1,false,8,1.0,random,-1,0.5496497896779707,NaN,0.010415331388535447,0.0175845820243498,1.1316321547574097e-7,0.5496497896779707,4.569353044882089e-5,NaN,2.7913543755,NaN,2.7913543755,2.7913543755
1,false,9,1.0,random,-1,0.5807007100780393,NaN,0.010188541992936194,0.016189984077328756,8.304231029217288e-7,0.5807007100780393,4.80295995332796e-5,NaN,2.475693236,NaN,2.475693236,2.475693236
1,true,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.07729341419402985,NaN,0.07729341419402985,0.07729341419402985
1,true,2,1.0,random,-1,2.9497846416571746e-15,NaN,6.934299392870798e-16,4.093861196135303e-16,9.21807700517867e-18,2.9497846416571746e-15,5.421010862427522e-19,NaN,0.241984998,NaN,0.241984998,0.241984998
1,true,3,1.0,random,-1,1.3659566714613216,NaN,0.17317345152925817,0.10934860775818234,6.0170527795691395e-6,1.3659566714613216,0.0002101142638119226,NaN,0.4531511321666667,NaN,0.4531511321666667,0.4531511321666667
1,true,4,1.0,random,-1,7.6565940270600725,NaN,0.6357503387617371,0.5007769835754133,4.3055651017608036e-6,7.6565940270600725,0.0010479665238180144,NaN,0.6285703056666666,NaN,0.6285703056666666,0.6285703056666666
1,true,5,1.0,random,-1,25.79152135489711,NaN,2.065639573193876,1.521155291000361,0.00013908495042860315,25.79152135489711,0.0029766348808774167,NaN,1.0305092084,NaN,1.0305092084,1.0305092084
1,true,6,1.0,random,-1,73.64129646107175,NaN,5.152317682600521,3.1428679046233925,0.0006928777689983533,73.64129646107175,0.00912807627554314,NaN,1.555121188,NaN,1.555121188,1.555121188
1,true,7,1.0,random,-1,122.29861819527359,NaN,19.38653920387443,9.324676814278092,0.000157108234950927,122.29861819527359,0.011332052998469752,NaN,1.8076259306666667,NaN,1.8076259306666667,1.8076259306666667
1,true,8,1.0,random,-1,347.1203475018761,NaN,65.09075733713149,28.847724774904613,0.005327674583645329,347.1203475018761,0.028856836600037655,NaN,2.101607889,NaN,2.101607889,2.101607889
1,true,9,1.0,random,-1,1142.8802637050642,NaN,200.57059419896066,92.1170556188566,0.026511637543462856,1142.8802637050642,0.09452731919832916,NaN,1.8475252633333332,NaN,1.8475252633333332,1.8475252633333332
2,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.07039979509722222,NaN,0.07039979509722222,0.07039979509722222
2,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.40966370192307694,NaN,0.40966370192307694,0.40966370192307694
2,false,3,1.0,random,-1,2.731262033297602e-15,NaN,5.144120036513852e-16,4.3617675123389946e-16,2.753288340017744e-18,2.731262033297602e-15,4.2012834183813297e-19,NaN,1.437616125,NaN,1.437616125,1.437616125
2,false,4,1.0,random,-1,2.52492613167194e-15,NaN,5.337243935173665e-16,3.2603447833359294e-16,6.188544440372402e-18,2.52492613167194e-15,3.4558944247975454e-19,NaN,4.366026937,NaN,4.366026937,4.366026937
2,false,5,1.0,random,-1,0.0323640252318467,NaN,0.0005441451263893263,0.0007947881386860758,6.9870889674622064e-9,0.0323640252318467,3.7351765747009776e-6,NaN,30.805140792,NaN,30.805140792,30.805140792
2,false,6,1.0,random,-1,0.09130016245973864,NaN,0.0030762120666665647,0.004577460810451018,6.330374354172728e-8,0.09130016245973864,1.1316949686546103e-5,NaN,47.319785917,NaN,47.319785917,47.319785917
2,false,7,1.0,random,-1,1.3116065923376932,NaN,0.027186342330450565,0.050054283572808944,8.444427209750716e-7,1.3116065923376932,0.00012153199796404127,NaN,102.090179792,NaN,102.090179792,102.090179792
2,false,8,1.0,random,-1,1014.6005002001522,NaN,5.213045937093346,13.90337755517209,3.593007966477927e-5,1014.6005002001522,0.08434585024847621,NaN,54.045586333,NaN,54.045586333,54.045586333
2,false,9,1.0,random,-1,270.5657489388712,NaN,1.6923816664043616,3.797095730480267,5.812336068319825e-6,270.5657489388712,0.022378420317773432,NaN,52.410311375,NaN,52.410311375,52.410311375
3,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.08857983264912281,NaN,0.08857983264912281,0.08857983264912281
3,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.326808533875,NaN,0.326808533875,0.326808533875
3,false,3,1.0,random,-1,2.731262033297602e-15,NaN,5.161847634148724e-16,4.3778864727956274e-16,5.506576680035488e-18,2.731262033297602e-15,4.2012834183813297e-19,NaN,1.26947797925,NaN,1.26947797925,1.26947797925
3,false,4,1.0,random,-1,2.475417776148961e-15,NaN,5.666839623523459e-16,3.2323114594060355e-16,1.2377088880744804e-17,2.475417776148961e-15,3.3881317890172014e-19,NaN,9.406221917,NaN,9.406221917,9.406221917
3,false,5,1.0,random,-1,4.462264162983421e-15,NaN,8.470335887427541e-16,5.270364468664883e-16,1.4678500536129674e-17,4.462264162983421e-15,5.149960319306146e-19,NaN,48.970852333,NaN,48.970852333,48.970852333
3,false,6,1.0,random,-1,0.013298647889529665,NaN,0.0004351704428401341,0.0005680197368626476,1.3499333267732372e-8,0.013298647889529665,1.6484103095793174e-6,NaN,127.621608458,NaN,127.621608458,127.621608458
3,false,7,1.0,random,-1,0.0452725590871941,NaN,0.001077822086989533,0.0014852733119815633,3.146904487088766e-8,0.0452725590871941,4.194904623805993e-6,NaN,229.56262725,NaN,229.56262725,229.56262725
3,false,8,1.0,random,-1,1.7552935794976647,NaN,0.03340320128508034,0.06171180982723537,4.973563712591329e-7,1.7552935794976647,0.00014592120678948547,NaN,361.901601208,NaN,361.901601208,361.901601208
3,false,9,1.0,random,-1,6.5187260897175365,NaN,0.12979140061265226,0.22565722466195937,3.543025521714285e-6,6.5187260897175365,0.0005391620814691256,NaN,467.008803792,NaN,467.008803792,467.008803792
